section_number,section_title,chunk_count,earliest_created_at,latest_created_at
CG-CVC PL 15-03,"CG-CVC Policy Letter 15-03 (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",3,2026-04-18 13:53:23.839234+00,2026-04-18 13:53:23.839234+00
CG-MMC PL 01-16,"Restricted Operator of Uninspected Passenger Vessels (ROUPV) Endorsements (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",6,2026-04-18 13:53:23.839234+00,2026-04-18 13:53:23.839234+00
CG-MMC PL 01-17,"CG-MMC Policy Letter 01-17 (Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",6,2026-04-18 13:53:27.107093+00,2026-04-18 13:53:27.107093+00
CG-MMC PL 01-18,"CG-MMC Policy Letter 01-18 — Harmonization (Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",6,2026-04-18 13:53:23.839234+00,2026-04-18 13:53:27.107093+00
CG-OES PL 01-15,"CG-OES Policy Letter 01-15 (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",34,2026-04-18 13:53:23.839234+00,2026-04-18 13:53:23.839234+00
CG-OES PL 01-16,"CG-OES Policy Letter 01-16 — Polar Code Training Guidelines (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",38,2026-04-18 13:53:27.107093+00,2026-04-18 13:53:27.107093+00
Liftboat Policy Letter,"Liftboat Policy Letter (Signed 2015-04-06) (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",5,2026-04-18 14:09:18.226578+00,2026-04-18 14:09:18.226578+00
NMC Military Sea Service Crediting,"Crediting Military Sea Service Toward MMC (Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",8,2026-04-18 13:53:27.107093+00,2026-04-18 13:53:27.905866+00
NMC PL 01-00,"NMC Policy Letter 01-00 (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",2,2026-04-18 13:53:23.839234+00,2026-04-18 13:53:23.839234+00
NMC PL 04-03,"NMC Policy Letter 04-03 (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",6,2026-04-18 14:06:21.281612+00,2026-04-18 14:06:21.281612+00
NMC PL 07-01,"NMC Policy Letter 07-01 (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",2,2026-04-18 13:53:23.839234+00,2026-04-18 13:53:23.839234+00
NMC PL 11-12,"NMC Policy Letter 11-12 (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",4,2026-04-18 14:07:08.334024+00,2026-04-18 14:07:08.334024+00
NMC PL 11-15,"NMC Policy Letter 11-15 (MMC, Merchant Mariner Credential, mariner credential, renewal, raise of grade, original issuance, continuity, document of continuity)",7,2026-04-18 14:08:24.068961+00,2026-04-18 14:08:24.068961+00
